Company,YC Page,Description,Industry,Company Website,Founders,founders_linkedin,founders_linkedin,founders_twitter,Founding Year,Headquarters
Nottelabs,https://www.ycombinator.com/companies/nottelabs,"Reliable Web Agents for Enterprise. Founded in 2025 by Lucas Giordano and Andrea Pinto, Nottelabs has 5 employees based in San Francisco, CA, USA.",B2B,,Andrea Pinto;Lucas Giordano,https://www.linkedin.com/in/pinto-andrea;https://www.linkedin.com/in/giordano-lucas/,https://www.linkedin.com/in/pinto-andrea;https://www.linkedin.com/in/giordano-lucas/,https://x.com/ogandreakiro;https://x.com/lucas_gdno,,
Rid,https://www.ycombinator.com/companies/rid,"Sell with a text. Founded in 2025 by Benedikt Stroebl and Veniamin Veselovsky, Rid has 2 employees based in San Francisco, CA, USA.",CONSUMER,,Benedikt Stroebl;Veniamin Veselovsky,https://www.linkedin.com/in/benediktstroebl/;https://linkedin.com/in/veniamin-v-bb1985116,https://www.linkedin.com/in/benediktstroebl/;https://linkedin.com/in/veniamin-v-bb1985116,https://x.com/benediktstroebl;https://x.com/VminVsky,,
Hyprnote,https://www.ycombinator.com/companies/hyprnote,"Open-source AI notetaker for the enterprise. Founded in 2023 by John Jeong, Deokhaeng Lee, and Yujong Lee, Hyprnote has 4 employees based in San Francisco, CA, USA.",B2B;PRODUCTIVITY,,John Jeong;Deokhaeng Lee;Yujong Lee,https://linkedin.com/in/johntopia;https://www.linkedin.com/in/dklee0127;https://linkedin.com/in/yujong1ee,https://linkedin.com/in/johntopia;https://www.linkedin.com/in/dklee0127;https://linkedin.com/in/yujong1ee,https://x.com/computeless;https://x.com/duckduckhero;https://x.com/yujonglee,,
mcp-use,https://www.ycombinator.com/companies/mcp-use,"Open-source dev tools and infrastructure for MCP. Founded in 2025 by Luigi Pederzani and Pietro Zullo, mcp-use has 2 employees based in . mcp-use is hiring for 1 roles in engineering.",B2B;INFRASTRUCTURE,,Pietro Zullo;Luigi Pederzani,https://linkedin.com/in/pietrozullo;https://www.linkedin.com/in/luigipederzani,https://linkedin.com/in/pietrozullo;https://www.linkedin.com/in/luigipederzani,https://x.com/pietrozullo;https://x.com/pederzh,,
Synthetic Society,https://www.ycombinator.com/companies/synthetic-society,"Synthetic Users to Simulate Real Users. Founded in 2025 by Aaron Chew and Kavan Doctor, Synthetic Society has 2 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Kavan Doctor;Aaron Chew,https://www.linkedin.com/in/kavandoctor/;https://linkedin.com/in/aaronbchew,https://www.linkedin.com/in/kavandoctor/;https://linkedin.com/in/aaronbchew,;https://x.com/aaronchewbani,,
Locata,https://www.ycombinator.com/companies/locata,"AI Referral Automation for Primary Care Clinics. Founded in 2025 by Joshua Chang and Alejandro Salinas, Locata has 2 employees based in New York, NY, USA.",HEALTHCARE;HEALTHCARE IT,,Alejandro Salinas;Joshua Chang;Locata - AI Referral Management for Health Centers,https://www.linkedin.com/in/asalinas21/;https://www.linkedin.com/in/joshua-r-chang/;https://www.linkedin.com/in/asalinas21/,https://www.linkedin.com/in/asalinas21/;https://www.linkedin.com/in/joshua-r-chang/;https://www.linkedin.com/in/asalinas21/,;;,,
Novaflow,https://www.ycombinator.com/companies/novaflow,"The AI data analyst for biology labs. Founded in 2025 by Aman Agarwal and Amulya Balakrishnan, Novaflow has 2 employees based in San Francisco, CA, USA.",HEALTHCARE,,Aman Agarwal;Amulya Balakrishnan,https://www.linkedin.com/in/aman-agarwal-ca;https://linkedin.com/in/amulya-balakrishnan,https://www.linkedin.com/in/aman-agarwal-ca;https://linkedin.com/in/amulya-balakrishnan,https://x.com/imamanforyou;,,
Pally,https://www.ycombinator.com/companies/pally,"Intelligent Unified Inbox + Personal CRM. Founded in 2024 by Haz Hubble and Wyatt Lansford, Pally has 3 employees based in San Francisco, CA, USA. Pally is hiring for 1 roles in engineering.",B2B;PRODUCTIVITY,,Haz Hubble;Wyatt Lansford,https://linkedin.com/in/hazhubble;https://www.linkedin.com/in/wyattlansford,https://linkedin.com/in/hazhubble;https://www.linkedin.com/in/wyattlansford,https://www.x.com/hazhubble;https://x.com/wylansford,,
Convexia,https://www.ycombinator.com/companies/convexia,"The world's first AI-maximalist pharma company. Founded in 2025 by Ayaan Parikh and Rahul Vijayan, Convexia has 2 employees based in San Francisco, CA, USA.",HEALTHCARE;DRUG DISCOVERY AND DELIVERY,,Ayaan Parikh;Rahul Vijayan;Convexia: World’s First AI-Maximalist Pharma Company,https://www.linkedin.com/in/ayaan-parikh;https://www.linkedin.com/in/rahulvijayan28/;https://www.linkedin.com/in/ayaan-parikh/,https://www.linkedin.com/in/ayaan-parikh;https://www.linkedin.com/in/rahulvijayan28/;https://www.linkedin.com/in/ayaan-parikh/,;;,,
Pleom,https://www.ycombinator.com/companies/pleom,"Royce - previously co-founded Bits to Atoms (YC S24) hiring cracked engineers for deep-tech startups. Graduated from Georgia Tech with both a Bachelors and Masters in Machine Learning by the age of 18. Also, worked as a Data Scientist for two years and also contributed to multiple other startups.",CONSUMER;CONSUMER ELECTRONICS,,Royce Arockiasamy,https://www.linkedin.com/in/roycea1/,https://www.linkedin.com/in/roycea1/,https://x.com/roycearoc,,
Cactus,https://www.ycombinator.com/companies/cactus,"Kernels & Engine for running AI on phones. Founded in 2025 by Henry Ndubuaku and Roman Shemet, Cactus has 3 employees based in San Francisco, CA, USA. Cactus is hiring for 2 roles in engineering.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Roman Shemet;Henry Ndubuaku,https://www.linkedin.com/in/roman-shemet/;https://linkedin.com/in/henry-ndubuaku-7b6350b8,https://www.linkedin.com/in/roman-shemet/;https://linkedin.com/in/henry-ndubuaku-7b6350b8,https://x.com/romanshemet;https://x.com/Henry_Ndubuaku,,
Perseus Defense,https://www.ycombinator.com/companies/perseus-defense,Jason and Steve studied aerospace engineering together at Penn State University and founded Perseus Defense in 2025.,INDUSTRIALS;DRONES,,Jason Cornelius;Steve Messinger;Perseus Defense 🚀 Building America's Iron Dome for Drones,https://www.linkedin.com/in/jason-k-cornelius/;https://www.linkedin.com/in/steve-messinger-a32680155/;https://www.linkedin.com/in/jason-k-cornelius/,https://www.linkedin.com/in/jason-k-cornelius/;https://www.linkedin.com/in/steve-messinger-a32680155/;https://www.linkedin.com/in/jason-k-cornelius/,;;,,
Phases,https://www.ycombinator.com/companies/phases,"Automating clinical trials, starting with patient recruitment. Founded in 2025 by Jonathan van Wersch, James Wall, and Anton Zaliznyi, Phases has 3 employees based in San Francisco, CA, USA.",HEALTHCARE;HEALTHCARE IT,,James Wall;Anton Zaliznyi;Jonathan van Wersch,https://www.linkedin.com/in/j-m-wall/;https://www.linkedin.com/in/anton-zaliznyi/;https://www.linkedin.com/in/jonathan-vw/,https://www.linkedin.com/in/j-m-wall/;https://www.linkedin.com/in/anton-zaliznyi/;https://www.linkedin.com/in/jonathan-vw/,;;,,
burnt,https://www.ycombinator.com/companies/burnt,"Agentic Operating System for Food Supply Chain. Founded in 2023 by Joseph Jacob, Rhea Karimpanal, and Chandru Shanumugasundaram, burnt has 3 employees based in San Francisco, CA, USA. burnt is hiring for 1 roles in engineering.",B2B;SUPPLY CHAIN AND LOGISTICS,,Joseph Jacob;Rhea Karimpanal;Chandru Shanumugasundaram,https://www.linkedin.com/in/josephjacob93;https://www.linkedin.com/in/rheakarimpanal/;https://linkedin.com/in/chandrushanmugasundaram,https://www.linkedin.com/in/josephjacob93;https://www.linkedin.com/in/rheakarimpanal/;https://linkedin.com/in/chandrushanmugasundaram,https://x.com/Joseph_Jacob13;https://x.com/RheaKarimpanal;https://x.com/tweetchanshan,,
Solva,https://www.ycombinator.com/companies/solva,Our team has spent the last decade battling legacy systems and dogma across highly regulated sectors of the financial industry. We’ve founded an EU-licensed bank (under the EBA CRD) and been part of scaling Europe’s fastest-growing InsurTech. We’ve seen firsthand the challenges with manual claims handling and how AI can fundamentally transform this process,FINTECH;INSURANCE,,Herman Båverud Olsson;Sorena Amini;Linus Malmén,https://www.linkedin.com/in/hermanbaverudolsson/;https://www.linkedin.com/in/sorenaamini;https://linkedin.com/in/linus-malmen,https://www.linkedin.com/in/hermanbaverudolsson/;https://www.linkedin.com/in/sorenaamini;https://linkedin.com/in/linus-malmen,;;,,
SigmanticAI,https://www.ycombinator.com/companies/sigmanticai,"The Cursor for Chip Design - Delivering Silicon-Ready Chip Designs…. Founded in 2025 by Rohil Khare and Tamzid Razzaque, SigmanticAI has 2 employees based in Dublin, CA 94568, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Rohil Khare;Tamzid Razzaque,https://www.linkedin.com/in/rohil-khare/;https://www.linkedin.com/in/tamzid-razzaque/,https://www.linkedin.com/in/rohil-khare/;https://www.linkedin.com/in/tamzid-razzaque/,;,,
Serafis,https://www.ycombinator.com/companies/serafis,"The AI knowledge graph for institutional investors. Founded in 2025 by Rohan Sharma, Serafis has 2 employees based in San Francisco, CA, USA.",B2B,,Rohan Sharma;⚡ Serafis - the AI knowledge graph,https://www.linkedin.com/in/r9a;https://www.linkedin.com/in/r9a/,https://www.linkedin.com/in/r9a;https://www.linkedin.com/in/r9a/,https://x.com/r9a_co;,,
RowFlow,https://www.ycombinator.com/companies/rowflow,"Replacing forms with AI conversations. Founded in 2025 by Jack Bubes and Alec Olesky, RowFlow has 2 employees based in New York, NY, USA.",B2B;OPERATIONS,,Alec Olesky;Jack Bubes,https://www.linkedin.com/in/alec-olesky/;https://www.linkedin.com/in/jack-bubes/,https://www.linkedin.com/in/alec-olesky/;https://www.linkedin.com/in/jack-bubes/,;,,
Ambral,https://www.ycombinator.com/companies/ambral,"AI-powered Account Managers. Founded in 2025 by Sam Brickman and Jack Stettner, Ambral has 2 employees based in .",B2B;SALES,,Sam Brickman;Jack Stettner;Ambral: The AI Account Management Team,https://www.linkedin.com/in/sam-brickman-086341136/;https://www.linkedin.com/in/jackstettner/;https://www.linkedin.com/in/sam-brickman-086341136/,https://www.linkedin.com/in/sam-brickman-086341136/;https://www.linkedin.com/in/jackstettner/;https://www.linkedin.com/in/sam-brickman-086341136/,https://x.com/Sambrickman_;;,,
Nixo,https://www.ycombinator.com/companies/nixo,"The first ops platform for forward deployed engineers. Founded in 2025 by Priya Khandelwal and Priti Rangnekar, Nixo has 2 employees based in San Francisco, CA, USA.",B2B,,Priya Khandelwal;Priti Rangnekar,https://www.linkedin.com/in/priya-khandelwal-86b84018b/;https://www.linkedin.com/in/pritirangnekar/,https://www.linkedin.com/in/priya-khandelwal-86b84018b/;https://www.linkedin.com/in/pritirangnekar/,;,,
Sira,https://www.ycombinator.com/companies/sira,"AI Native Rippling for Deskless Workers. Founded in 2025 by Nathan Belaye and Antonio Chan, Sira has 0 employees based in San Francisco, CA, USA.",B2B;HUMAN RESOURCES,,Nathan Belaye;Antonio Chan,https://www.linkedin.com/in/nathan-belaye-931005149/;https://www.linkedin.com/in/antonio-chan/,https://www.linkedin.com/in/nathan-belaye-931005149/;https://www.linkedin.com/in/antonio-chan/,;,,
Opennote,https://www.ycombinator.com/companies/opennote,"The AI tutor that lives in your notes. Founded in 2025 by Abhi Arya, Rishi Srihari, and Vedant Vyas, Opennote has 3 employees based in San Francisco, CA, USA.",EDUCATION,,Rishi Srihari;Abhi Arya;Vedant Vyas;Opennote – Interactive Learning for Students,https://www.linkedin.com/in/rishi-srihari/;https://linkedin.com/in/abhiaarya;https://www.linkedin.com/in/vedant-vyas5/;https://www.linkedin.com/in/abhiaarya/,https://www.linkedin.com/in/rishi-srihari/;https://linkedin.com/in/abhiaarya;https://www.linkedin.com/in/vedant-vyas5/;https://www.linkedin.com/in/abhiaarya/,https://x.com/rishi_srihari;https://x.com/abh1a0;https://x.com/_vedantvyas;,,
WAYLINE,https://www.ycombinator.com/companies/wayline,"AI voice for property managers. Founded in 2025 by Jason Okra and Eric Rowell, WAYLINE has 2 employees based in . WAYLINE is hiring for 2 roles in engineering.",REAL ESTATE AND CONSTRUCTION,,Jason Okra;Eric Rowell,https://www.linkedin.com/in/okra;https://www.linkedin.com/in/errowell/,https://www.linkedin.com/in/okra;https://www.linkedin.com/in/errowell/,https://x.com/heyokra;https://twitter.com/ericdrowell,,
Mohi,https://www.ycombinator.com/companies/mohi,"Analyze and understand complex agent workflows with clarity. Founded in 2025 by Evan Seeyave, Mohi has 2 employees based in San Francisco, CA, USA.",B2B;OPERATIONS,,Evan Seeyave,https://www.linkedin.com/in/evanseeyave,https://www.linkedin.com/in/evanseeyave,,,
F4,https://www.ycombinator.com/companies/f4,"Automating compliance checks for engineering drawings. Founded in 2025 by Aidan Cantu and Paul Shin, F4 has 2 employees based in San Francisco, CA, USA.",INDUSTRIALS,,Paul Shin;Aidan Cantu,https://www.linkedin.com/in/paul-hyoungsang-shin/;https://www.linkedin.com/in/aidan-cantu/,https://www.linkedin.com/in/paul-hyoungsang-shin/;https://www.linkedin.com/in/aidan-cantu/,https://x.com/ur_hyoung;https://x.com/_aidan_cantu_,,
Luminal,https://www.ycombinator.com/companies/luminal,"Making AI run fast on any hardware. Founded in 2025 by Joe Fioti, Matthew Gunton, and Jake Stevens, Luminal has 3 employees based in . Luminal is hiring for 1 roles in engineering.",B2B;INFRASTRUCTURE,,Joe Fioti;Matthew Gunton;Jake Stevens;Luminal - PyTorch for Production;THE PROBLEM:,https://linkedin.com/in/joe-fioti-24a986189;https://www.linkedin.com/in/matthewjgunton/;https://linkedin.com/in/jake-stevens-;https://www.linkedin.com/in/joe-fioti-24a986189/;https://www.linkedin.com/in/joe-fioti-24a986189/,https://linkedin.com/in/joe-fioti-24a986189;https://www.linkedin.com/in/matthewjgunton/;https://linkedin.com/in/jake-stevens-;https://www.linkedin.com/in/joe-fioti-24a986189/;https://www.linkedin.com/in/joe-fioti-24a986189/,https://x.com/joefioti;https://x.com/matthewjgunton;https://x.com/stake_jevens;;,,
Metis,https://www.ycombinator.com/companies/metis,"Infrastructure to build reliable agents. Founded in 2025 by Aryan Shah, Aayush Sheth, and Marcus Yearwood, Metis has 7 employees based in San Francisco, CA, USA. Metis is hiring for 5 roles in engineering and operations.",B2B;INFRASTRUCTURE,,Aryan Shah;Aayush Sheth;Marcus Yearwood,https://www.linkedin.com/in/aryan-shah1/;https://linkedin.com/in/aasheth1;https://www.linkedin.com/in/marcus-yearwood?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,https://www.linkedin.com/in/aryan-shah1/;https://linkedin.com/in/aasheth1;https://www.linkedin.com/in/marcus-yearwood?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,;;,,
Fluidize,https://www.ycombinator.com/companies/fluidize,"Helping scientists and engineers run experiments with AI. . Founded in 2025 by Henry Bae, Alex Fleury, and Jamin Liu, Fluidize has 3 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Henry Bae;Alex Fleury;Jamin Liu;Fluidize: AI-powered R&D,https://linkedin.com/in/henrybae;https://www.linkedin.com/in/victoralexfleury/;https://www.linkedin.com/in/jamin-liu-255277163;https://www.linkedin.com/in/victoralexfleury/,https://linkedin.com/in/henrybae;https://www.linkedin.com/in/victoralexfleury/;https://www.linkedin.com/in/jamin-liu-255277163;https://www.linkedin.com/in/victoralexfleury/,;https://x.com/alexfleury160;;,,
Albacore Inc.,https://www.ycombinator.com/companies/albacore-inc,"Autonomous undersea vehicles to deter maritime invasions. Founded in 2025 by John Huddleston and Dante Vaisbort, Albacore Inc. has 15 employees based in Philadelphia, PA, USA. Albacore Inc. is hiring for 3 roles in engineering.",GOVERNMENT,,John Huddleston;Dante Vaisbort;🌊 Albacore – Autonomous micro-submarines;TLDR:,https://www.linkedin.com/in/john-huddleston-3584121b7/;https://www.linkedin.com/in/dante-vaisbort/;https://www.linkedin.com/in/john-huddleston-3584121b7/;https://www.linkedin.com/in/john-huddleston-3584121b7/,https://www.linkedin.com/in/john-huddleston-3584121b7/;https://www.linkedin.com/in/dante-vaisbort/;https://www.linkedin.com/in/john-huddleston-3584121b7/;https://www.linkedin.com/in/john-huddleston-3584121b7/,;;;,,
Mimos,https://www.ycombinator.com/companies/mimos,"Helping companies rank in AI search. Founded in 2025 by Michael Korovkin and Rohit Sirosh, Mimos has 2 employees based in .",B2B,,Rohit Sirosh;Michael Korovkin,https://www.linkedin.com/in/rohit-sirosh/;https://www.linkedin.com/in/michael-korovkin/,https://www.linkedin.com/in/rohit-sirosh/;https://www.linkedin.com/in/michael-korovkin/,;,,
Stormy AI,https://www.ycombinator.com/companies/stormy-ai,"Al platform that makes social marketing as easy as running a Google…. Founded in 2024 by Robert Lukoszko, Stormy AI has 5 employees based in San Francisco, CA, USA.",B2B;MARKETING,,Robert Lukoszko,https://linkedin.com/in/karmedge,https://linkedin.com/in/karmedge,https://twitter.com/karmedge/,,
Autumn,https://www.ycombinator.com/companies/autumn,"Billing infrastructure for AI. Founded in 2025 by Ayush Rodrigues and John Yeo, Autumn has 2 employees based in . Autumn is hiring for 1 roles in engineering.",B2B,,Ayush Rodrigues;John Yeo,https://www.linkedin.com/in/ayushro/;https://www.linkedin.com/in/johnyeocx,https://www.linkedin.com/in/ayushro/;https://www.linkedin.com/in/johnyeocx,https://x.com/ay_ushr;https://x.com/johnyeo_,,
Nozomio,https://www.ycombinator.com/companies/nozomio,"Context augmentation for agents. Founded in 2025 by Arlan Rakhmetzhanov, Nozomio has 1 employees based in . Nozomio is hiring for 1 roles in engineering.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Arlan Rakhmetzhanov,https://www.linkedin.com/in/arlan-rakhmetzhanov/,https://www.linkedin.com/in/arlan-rakhmetzhanov/,https://x.com/arlanrakh,,
NOSO LABS,https://www.ycombinator.com/companies/noso-labs,"Build AI agents for field technicians to diagnose and sell 10x better. Founded in 2025 by Winston Chi and Alex Xi, NOSO LABS has 3 employees based in . NOSO LABS is hiring for 1 roles in engineering.",INDUSTRIALS,,Winston Chi,https://www.linkedin.com/in/lwchi/,https://www.linkedin.com/in/lwchi/,,,
Eden,https://www.ycombinator.com/companies/tryeden,"Autonomous Marketing AI for Ecommerce Brands. Founded in 2025 by Jason He and Alex Talamonti, Eden has 2 employees based in New York, NY, USA.",B2B;MARKETING,,Alex Talamonti;Jason He,https://www.linkedin.com/in/alexander-talamonti/;https://www.linkedin.com/in/jasonjche/,https://www.linkedin.com/in/alexander-talamonti/;https://www.linkedin.com/in/jasonjche/,https://x.com/AlexTalamonti;https://x.com/jasonjche,,
VibeFlow,https://www.ycombinator.com/companies/vibeflow,"Shopify for saas. Founded in 2025 by Alessia Paccagnella and Elia Saquand, VibeFlow has 0 employees based in . VibeFlow is hiring for 1 roles in engineering.",B2B,,Alessia Paccagnella;Elia Saquand,https://www.linkedin.com/in/alepacca;https://www.linkedin.com/in/elia-saquand-bb977b18a/,https://www.linkedin.com/in/alepacca;https://www.linkedin.com/in/elia-saquand-bb977b18a/,https://x.com/alessiapacca;,,
Nuntius,https://www.ycombinator.com/companies/nuntius,"Making Models Follow Rules. Founded in 2025 by , Nuntius has 2 employees based in San Francisco, CA, USA.",B2B;INFRASTRUCTURE,,,,,,,
Comena,https://www.ycombinator.com/companies/comena,"AI agents for distributors and manufacturers to automate order entry. Founded in 2025 by Almo Sutedjo and Jiehua Wu, Comena has 2 employees based in . Comena is hiring for 3 roles in engineering.",B2B;SUPPLY CHAIN AND LOGISTICS,,Jiehua Wu;Almo Sutedjo,https://www.linkedin.com/in/jiehua-wu/;https://www.linkedin.com/in/almo-sutedjo/,https://www.linkedin.com/in/jiehua-wu/;https://www.linkedin.com/in/almo-sutedjo/,;,,
Riff,https://www.ycombinator.com/companies/riff,"Cursor for music production. Founded in 2025 by Adith Reddi and Kenny Zhang, Riff has 2 employees based in San Francisco, CA, USA.",CONSUMER,,Adith Reddi;Kenny Zhang,https://www.linkedin.com/in/adithreddi/;https://www.linkedin.com/in/kenny-zhang-jinlin/,https://www.linkedin.com/in/adithreddi/;https://www.linkedin.com/in/kenny-zhang-jinlin/,https://x.com/adithreddi;https://x.com/Zerkka0819,,
Stockline,https://www.ycombinator.com/companies/stockline,"AI-native ERP for food wholesalers. Founded in 2025 by Moncef DJAFRI and Mariem Ould Ismail, Stockline has 2 employees based in San Francisco, CA, USA.",B2B,,Mariem Ould Ismail;Moncef DJAFRI,https://www.linkedin.com/in/mariem-ould-ismail-b45917262/;https://www.linkedin.com/in/moncef-djafri-100425247/,https://www.linkedin.com/in/mariem-ould-ismail-b45917262/;https://www.linkedin.com/in/moncef-djafri-100425247/,;,,
Normal,https://www.ycombinator.com/companies/normal,"Modern compliance for drones, robots, IoT, and beyond. Founded in 2025 by Hudhayfa Nazoordeen and Anson Yu, Normal has 2 employees based in San Francisco, CA, USA.",INDUSTRIALS,,Anson Yu;Hudhayfa Nazoordeen,https://www.linkedin.com/in/anson-yu-231336141/;https://linkedin.com/in/hudzah,https://www.linkedin.com/in/anson-yu-231336141/;https://linkedin.com/in/hudzah,https://x.com/ansonyuu;https://x.com/hud_zah,,
DeepAware AI,https://www.ycombinator.com/companies/deepaware-ai,"Help AI data centers unlock more compute and become more efficient. Founded in 2025 by Jerry Huang and Stela Tong, DeepAware AI has 2 employees based in San Francisco, CA, USA. DeepAware AI is hiring for 3 roles in sales and engineering.",B2B;INFRASTRUCTURE,,Jerry Huang;Stela Tong;DeepAware - Automation for next-gen AI data centers,https://www.linkedin.com/in/jerryh01/;https://www.linkedin.com/in/stela-tong-a2583110b/;https://www.linkedin.com/company/deepaware/,https://www.linkedin.com/in/jerryh01/;https://www.linkedin.com/in/stela-tong-a2583110b/;https://www.linkedin.com/company/deepaware/,https://x.com/jerryhuang01;;,,
Keystone,https://www.ycombinator.com/companies/keystone,"Your team's on-call AI engineer. Founded in 2025 by Pablo Hansen, Keystone has 1 employees based in San Francisco, CA, USA.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Pablo Hansen,https://linkedin.com/in/pablo-hansen,https://linkedin.com/in/pablo-hansen,https://x.com/thepablohansen,,
Blue,https://www.ycombinator.com/companies/blue,"The first voice assistant that can control every app on your iPhone. Founded in 2024 by Omar Abdelaziz, Farhan Hossain, and Peter Krogh, Blue has 4 employees based in Santa Clara, CA, USA.",CONSUMER,,Omar Abdelaziz;Farhan Hossain;Peter Krogh,https://linkedin.com/in/oabdelaziz/;https://www.linkedin.com/in/mfarhanh/;https://www.linkedin.com/in/peter-krogh-820273/,https://linkedin.com/in/oabdelaziz/;https://www.linkedin.com/in/mfarhanh/;https://www.linkedin.com/in/peter-krogh-820273/,https://x.com/OmarAbcXyz123;https://x.com/FarhanBuilds;,,
Channel3,https://www.ycombinator.com/companies/channel3,"Database of every product on the internet. Founded in 2025 by George Lawrence and Alexander Schiff, Channel3 has 2 employees based in New York, NY, USA.",B2B;RETAIL,,Alexander Schiff;George Lawrence;Channel3: A database of every product on the internet,https://linkedin.com/in/alexanderschiff;https://linkedin.com/in/george-lawrence-aab0011a6;https://www.linkedin.com/in/george-lawrence-aab0011a6/,https://linkedin.com/in/alexanderschiff;https://linkedin.com/in/george-lawrence-aab0011a6;https://www.linkedin.com/in/george-lawrence-aab0011a6/,https://x.com/schiffyalex;;,,
GhostEye,https://www.ycombinator.com/companies/ghosteye,"Human-Centric Security Validation. Founded in 2025 by Mohammad Eshan and Charles Antoine Malenfant, GhostEye has 2 employees based in New York, NY, USA.",B2B;SECURITY,,Mohammad Eshan;Charles Antoine Malenfant,https://www.linkedin.com/in/moheshan/;https://www.linkedin.com/in/charles-antoine-malenfant-618776b9/,https://www.linkedin.com/in/moheshan/;https://www.linkedin.com/in/charles-antoine-malenfant-618776b9/,;,,
DeepGrove,https://www.ycombinator.com/companies/deepgrove,"Frontier Intelligence. On Any Device. Founded in 2025 by Shayaan Emran and Edward Zhang, DeepGrove has 2 employees based in . DeepGrove is hiring for 1 roles in engineering.",B2B,,,,,,,
Epicenter,https://www.ycombinator.com/companies/epicenter,"A database for your mind, built on plain text. Founded in 2025 by Braden Wong, Epicenter has 1 employees based in San Francisco, CA, USA.",CONSUMER,,Braden Wong,https://www.linkedin.com/in/braden-wong/,https://www.linkedin.com/in/braden-wong/,,,
Candytrail,https://www.ycombinator.com/companies/candytrail,"AI agents for in-person sales teams, starting with coaching. Founded in 2025 by Ayush Mahna and Aditya Mahna, Candytrail has 2 employees based in San Francisco, CA, USA.",B2B;SALES,,Aditya Mahna;Ayush Mahna,https://www.linkedin.com/in/aditya-mahna-b57256325/;https://www.linkedin.com/in/ayush-mahna-34r,https://www.linkedin.com/in/aditya-mahna-b57256325/;https://www.linkedin.com/in/ayush-mahna-34r,;https://x.com/mahnaayush?s=21,,
Frizzle,https://www.ycombinator.com/companies/frizzle,"Shyam (CTO) was a Machine Learning Engineer at Microsoft, holds a patent in LLM applications, and co-founded the Midwest Math Circle, which has served hundreds of students for more than a decade. He holds a Bachelor’s in Artificial Intelligence and Computer Science from Carnegie Mellon University.",EDUCATION,,Abhay Gupta;Shyam Sai;Frizzle 📝 AI Grading for Math Teachers,https://www.linkedin.com/in/abhaygupta-/;https://www.linkedin.com/in/shyamsai;https://www.linkedin.com/in/abhaygupta-/,https://www.linkedin.com/in/abhaygupta-/;https://www.linkedin.com/in/shyamsai;https://www.linkedin.com/in/abhaygupta-/,https://x.com/abhaygupta_eth;;,,
Embedder,https://www.ycombinator.com/companies/embedder,"Coding Agent for Firmware. Founded in 2025 by Ethan Gibbs and Bob Wei, Embedder has 2 employees based in . Embedder is hiring for 2 roles in engineering.","B2B;ENGINEERING, PRODUCT AND DESIGN",,Ethan Gibbs;Bob Wei,https://www.linkedin.com/in/etgibbs/;https://www.linkedin.com/in/jiachew,https://www.linkedin.com/in/etgibbs/;https://www.linkedin.com/in/jiachew,https://x.com/ethanmgibbs;https://x.com/imbobwei,,
Flai,https://www.ycombinator.com/companies/flai,"We Bring Customers to Your Dealership. Founded in 2025 by Juan Alzugaray, Alen Polakof, and Ari Polakof, Flai has 3 employees based in San Francisco, CA, USA.",INDUSTRIALS;AUTOMOTIVE,,Ari Polakof;Juan Alzugaray;Alen Polakof,https://www.linkedin.com/in/ari-polakof-78b976150/;https://www.linkedin.com/in/jfalzugaray/;https://www.linkedin.com/in/alenpolakof,https://www.linkedin.com/in/ari-polakof-78b976150/;https://www.linkedin.com/in/jfalzugaray/;https://www.linkedin.com/in/alenpolakof,;;,,
Alter,https://www.ycombinator.com/companies/alter,"Secure access control and authorization platform for agent workflows. Founded in 2025 by Srikar Dandamuraju and Kevan Dodhia, Alter has 2 employees based in New York, NY, USA.",B2B;SECURITY,,Srikar Dandamuraju;Kevan Dodhia,https://linkedin.com/in/srikar-d-473390136;https://linkedin.com/in/kevan-dodhia-760183129,https://linkedin.com/in/srikar-d-473390136;https://linkedin.com/in/kevan-dodhia-760183129,https://x.com/realsreeks;,,
OnDeck AI,https://www.ycombinator.com/companies/ondeck-ai,"Analyze any footage, without training a model. Founded in 2025 by Alexander Dungate and Sepand Dyanatkar, OnDeck AI has 6 employees based in . OnDeck AI is hiring for 2 roles in engineering.",B2B;ANALYTICS,,"Alexander Dungate;Sepand Dyanatkar;OnDeck AI - Analyze any video, without training a model.;TL;DR",https://www.linkedin.com/in/alexander-dungate/;https://linkedin.com/in/sepandd;https://www.linkedin.com/company/ondeckai/;https://www.linkedin.com/company/ondeckai/,https://www.linkedin.com/in/alexander-dungate/;https://linkedin.com/in/sepandd;https://www.linkedin.com/company/ondeckai/;https://www.linkedin.com/company/ondeckai/,;https://x.com/SepandD;https://x.com/ondeckai;https://x.com/ondeckai,,
